#Batch costTraining precTraining
231 0.57903576 0.78344154
232 0.5983023 0.78408766
233 0.60116893 0.78472817
234 0.6092498 0.7852208
235 0.744275 0.7856383
236 0.6841887 0.7861935
237 0.7403609 0.7866034
238 0.7790492 0.78690475
239 0.62651354 0.7874128
240 0.471713 0.78805554
241 0.9316021 0.7883472
242 0.65616405 0.7888774
243 0.680426 0.7892661
244 0.79588956 0.78965163
245 0.6969811 0.79006803
246 0.62870336 0.79058266
247 0.6106484 0.7910594
248 0.72920877 0.79139787
249 0.7887396 0.7916667
250 0.5095801 0.79223335
251 0.94094604 0.7923307
252 0.49368766 0.7928902
253 0.7205713 0.7932477
254 0.7080771 0.79356956
255 0.5079509 0.79415035
256 0.59238434 0.794694
257 0.58452827 0.7951362
258 0.57205695 0.79554266
259 0.53637654 0.7961712
260 0.5108605 0.7966346
261 0.55904645 0.7971903
262 0.7194552 0.7975191
263 0.5063171 0.7980355
264 0.68111056 0.79842174
265 0.43176728 0.7989937
266 0.6251504 0.7994361
267 0.6562888 0.7999064
268 0.5963781 0.800342
269 0.69589335 0.80065054
270 0.80361295 0.80089504
271 0.7901175 0.80123
272 0.8269016 0.8014706
273 0.60959107 0.801862
274 0.48594067 0.8023419
275 0.6527087 0.80269694
276 0.586609 0.8031401
277 0.6533604 0.80348974
278 0.6635679 0.80383694
279 0.80468804 0.8040621
280 0.5845663 0.8044643
281 0.57974446 0.8048636
282 0.50552285 0.80531913
283 0.7155762 0.8056537
284 0.47774658 0.8061326
285 0.6295617 0.806462
286 0.63131756 0.80684733
287 0.702308 0.80722994
288 0.48859653 0.80769676
289 0.56248164 0.80810267
290 0.47978097 0.8085058
291 0.7193076 0.8087915
292 0.55113536 0.8092466
293 0.5579604 0.80964166
294 0.6877051 0.80980724
295 0.4285021 0.81022596
296 0.70317423 0.8105293
297 0.6486758 0.8108586
298 0.7389915 0.8111018
299 0.68771476 0.811427
300 0.44267875 0.81191665
301 0.7146693 0.8122093
302 0.41885003 0.8126932
303 0.55625594 0.8130363
304 0.48631418 0.81343204
305 0.5832958 0.81382513
306 0.39756176 0.81427014
307 0.6587256 0.81457657
308 0.7087765 0.8148539
309 0.7454735 0.8150755
310 0.6222586 0.8154032
311 0.65484965 0.8156217
312 0.496834 0.8159722
313 0.66776603 0.81624067
314 0.6861866 0.81645435
315 0.5672577 0.81677246
316 0.6950968 0.81695676
317 0.9117517 0.8170347
318 0.6104964 0.8173218
319 0.6420548 0.81755483
320 0.54631627 0.81789064
321 0.6715234 0.8180945
322 0.69373184 0.8183489
323 0.46259677 0.81870484
324 0.6691359 0.81893003
325 0.53674513 0.8192308
326 0.35906443 0.81960636
327 0.63654083 0.81990314
328 0.6776415 0.82012194
329 0.81184155 0.82026345
330 0.7250198 0.8204798
331 0.70850086 0.82069486
332 0.4860878 0.8210592
333 0.7238663 0.82122123
334 0.5997727 0.8214321
335 0.5822515 0.8217164
336 0.45554104 0.8220486
337 0.5382749 0.8223294
338 0.58465123 0.82265776
339 0.6468843 0.82288593
340 0.532255 0.8232353
341 0.43986464 0.8235337
342 0.5492803 0.82380605
343 0.4647564 0.82412535
344 0.4273219 0.8245155
345 0.61093366 0.82480675
346 0.54279876 0.8250722
347 0.7159594 0.82526416
348 0.5296968 0.8255508
349 0.404085 0.82590735
350 0.82574105 0.826
351 0.4122774 0.8263295
352 0.52919143 0.8265625
353 0.5787383 0.82677054
354 0.5130275 0.82707155
355 0.46024373 0.8273005
356 0.55489486 0.8275281
357 0.70480484 0.82775444
358 0.46690303 0.82811916
359 0.41546074 0.8284355
360 0.62288564 0.8286574
361 0.5385078 0.8289012
362 0.4407648 0.82928175
363 0.49754983 0.8295684
364 0.5513773 0.8297619
365 0.5193212 0.8300228
366 0.6561039 0.83019125
367 0.41260573 0.830495
368 0.44384766 0.830865
369 0.40292507 0.8311879
370 0.3544661 0.83155406
371 0.58538824 0.83180594
372 0.46318454 0.8320789
373 0.29292673 0.8324173
374 0.58252794 0.8326203
375 0.66238725 0.83284444
376 0.32877505 0.8331339
377 0.5765017 0.83337754
378 0.82711804 0.83346564
379 0.48923847 0.83370715
380 0.5772835 0.8339254
381 0.34676406 0.8342738
382 0.4376484 0.8345768
383 0.4733106 0.8348564
384 0.4486857 0.83511287
385 0.5430903 0.83534634
386 0.39720753 0.83564335
387 0.5490982 0.83585274
388 0.46385306 0.8361469
389 0.31300944 0.836461
390 0.47997704 0.83668804
391 0.7536466 0.83678603
392 0.5478893 0.83696854
393 0.43711022 0.837235
394 0.42388263 0.8374789
395 0.49511576 0.8377004
396 0.5180687 0.8378998
397 0.7311644 0.83805627
398 0.54521203 0.8382538
399 0.5863434 0.8384712
400 0.5979098 0.838625
401 0.39587268 0.83888197
402 0.6038657 0.83899254
403 0.6630099 0.83914393
404 0.52791286 0.8393564
405 0.2493577 0.8396708
406 0.62081987 0.83979887
407 0.5501142 0.83996725
408 0.55730575 0.840094
409 0.56883556 0.8402608
410 0.7183711 0.8403658
411 0.6521532 0.8404907
412 0.91875094 0.84051377
413 0.4899146 0.8407385
414 0.60160863 0.8409219
415 0.7675776 0.84096384
416 0.3887572 0.84120595
417 0.371113 0.84146684
418 0.6002008 0.84166664
419 0.6837629 0.8417661
420 0.46750215 0.84198415
421 0.53959525 0.8421813
422 0.71287614 0.84227884
423 0.5012118 0.8424744
424 0.7031508 0.8425511
425 0.5713351 0.8427059
426 0.49753883 0.84291863
427 0.5275956 0.8430523
428 0.46525732 0.84320486
429 0.5213498 0.8434149
430 0.551942 0.8436046
431 0.80609614 0.84365815
432 0.44079667 0.8439043
433 0.56389445 0.84414935
434 0.6292406 0.84429723
435 0.4343448 0.8445019
436 0.66395086 0.8446483
437 0.57330114 0.84479403
438 0.4128647 0.84503424
439 0.4599228 0.8452354
440 0.48608094 0.8454356
441 0.5198154 0.84563494
442 0.5408442 0.84579563
443 0.57971245 0.84589916
444 0.64672077 0.8460398
445 0.6579797 0.8461236
446 0.56664175 0.84626305
447 0.74559975 0.8463087
448 0.724685 0.8464286
449 0.66267127 0.84649223
450 0.35519084 0.8467037
451 0.5529312 0.84685886
452 0.74025995 0.8469948
453 0.42369264 0.84718543
454 0.52804714 0.84737515
455 0.48730037 0.8475458
456 0.4390869 0.8477156
457 0.7097966 0.8477571
458 0.5109132 0.84794396
459 0.7605398 0.8480029
460 0.6188967 0.8481159
461 0.47536698 0.8483008
462 0.7073532 0.84837663
463 0.3916848 0.8485961
464 0.6132081 0.84867096
465 0.5960638 0.8488172
466 0.4540558 0.84899855
467 0.37056732 0.8492327
468 0.44707018 0.849448
469 0.5815918 0.84957355
470 0.742787 0.84966314
471 0.43138498 0.84989387
472 0.3428817 0.8501589
473 0.5354857 0.8502995
474 0.4427149 0.85047466
475 0.52392703 0.85066664
476 0.80154496 0.8506302
477 0.6580834 0.8506988
478 0.5620203 0.8508368
479 0.45972475 0.85097426
480 0.5868989 0.85109377
481 0.71312636 0.85119545
482 0.54892653 0.8513485
483 0.39394176 0.8515528
484 0.4001325 0.85177344
485 0.5253622 0.8519244
486 0.48441193 0.8520233
487 0.57933754 0.85215604
488 0.4935425 0.85228825
489 0.3329386 0.85247105
490 0.43639976 0.85261905
491 0.4955624 0.85276645
492 0.43457407 0.8529641
