#Batch costTraining precTraining costValidation precValidation
500 0.47306502235531805 0.9299333095550537 0.46392058037221434 0.9293000102043152
1000 0.3426633232136567 0.9506666660308838 0.3570436392307281 0.9466999769210815
1500 0.2967420823231339 0.959850013256073 0.3180226600944996 0.955299973487854
2000 0.2565406690473358 0.9637166857719421 0.28059438708052037 0.9580000042915344
2500 0.20568503773411115 0.972516655921936 0.23565835387818515 0.9663000106811523
3000 0.19853293705334266 0.9732999801635742 0.23612996765822172 0.9667999744415283
3500 0.1792414864440759 0.9766333103179932 0.23131804612707346 0.9677000045776367
4000 0.16933368653332193 0.9791333079338074 0.22707904183231295 0.9689000248908997
4500 0.15006667629430692 0.9809166789054871 0.21185181781053544 0.9699000120162964
5000 0.15642613722607493 0.9819999933242798 0.2194227355008945 0.9696000218391418
5500 0.13504205807552982 0.9833499789237976 0.20434192434195428 0.97079998254776
6000 0.13380372093717258 0.9841833114624023 0.20325595327746124 0.9722999930381775
6500 0.12646204277525344 0.9848833084106445 0.20490216275956483 0.9707000255584717
7000 0.12082210899088532 0.9850999712944031 0.1970796725816559 0.9729999899864197
7500 0.11678623014148325 0.9863666892051697 0.19561265672668815 0.9733999967575073
8000 0.12537031367719173 0.9851499795913696 0.20588055193903856 0.972100019454956
8500 0.10691747557797159 0.987766683101654 0.1921359377508983 0.9731000065803528
9000 0.09574703222884176 0.9884999990463257 0.1894258773039328 0.9743000268936157
9500 0.09463143592784182 0.9889833331108093 0.19231559895647224 0.9745000004768372
10000 0.11925059274040783 0.9864000082015991 0.21202718937615864 0.9713000059127808
10500 0.08448989827878929 0.9897666573524475 0.18017155887987465 0.9736999869346619
11000 0.08656488703404708 0.9894833564758301 0.18211242330550448 0.9739000201225281
11500 0.10182778543123665 0.9884833097457886 0.19565256208392093 0.9731000065803528
12000 0.09566677549725087 0.9887833595275879 0.19245694995415397 0.9722999930381775
12500 0.08470468378238535 0.9901000261306763 0.18905168198080502 0.9739999771118164
13000 0.08050258900993504 0.9909833073616028 0.18590688468053704 0.9746999740600586
13500 0.07091505390704454 0.9913833141326904 0.18180446031054015 0.9760000109672546
14000 0.0794065932460362 0.991100013256073 0.18929644671827556 0.9735999703407288
14500 0.08072726475250286 0.9907666444778442 0.18657638784475858 0.9743000268936157
15000 0.0784234046569094 0.9909666776657104 0.18966083838529885 0.9739999771118164
15500 0.05954241586845019 0.992816686630249 0.17673046025998482 0.9750000238418579
16000 0.06782988597555085 0.9921666383743286 0.18534426146827174 0.9757000207901001
16500 0.06732310816738173 0.9918333292007446 0.18713722377106898 0.9735000133514404
17000 0.0651636268273578 0.9926000237464905 0.1787300882626616 0.9746000170707703
17500 0.07719967407040919 0.9910833239555359 0.18728505561454223 0.9745000004768372
18000 0.08504323606519805 0.9909999966621399 0.19559161872363184 0.9742000102996826
18500 0.0959378249046451 0.9896666407585144 0.20688202489201796 0.9718000292778015
19000 0.10080318343860174 0.9885666370391846 0.21717387629723525 0.9702000021934509
19500 0.07140314682733734 0.9920666813850403 0.1964023730813613 0.9745000004768372
20000 0.07700766081899298 0.9914166927337646 0.2007432517728761 0.9746000170707703
20500 0.057986184278926524 0.9931833148002625 0.18757699693148897 0.9742000102996826
21000 0.0580146340292049 0.9933833479881287 0.17651948359064482 0.9760000109672546
21500 0.05530981491293642 0.9935833215713501 0.18480044105691776 0.9761000275611877
22000 0.05481209060262772 0.9936500191688538 0.18541784166866274 0.9758999943733215
22500 0.07099565726946264 0.9924833178520203 0.2080427988008014 0.9714000225067139
23000 0.06830849649119967 0.9929999709129333 0.19607102007918 0.9761000275611877
23500 0.049548712796544714 0.9941499829292297 0.18295895494256983 0.9750999808311462
24000 0.05588653222543362 0.9935333132743835 0.18131515115599323 0.9764000177383423
24500 0.05146536219023304 0.9941999912261963 0.19153089474238733 0.973800003528595
25000 0.06093110123506243 0.9928333163261414 0.1990889026030549 0.9743000268936157
25500 0.09291451368866449 0.9897666573524475 0.20960010876841842 0.9726999998092651
26000 0.08357505841138191 0.9913166761398315 0.21092782020239392 0.9725000262260437
26500 0.06434043995364191 0.9929999709129333 0.18578295514100465 0.9768000245094299
27000 0.0662387641918244 0.9929166436195374 0.20073073898537697 0.9735000133514404
27500 0.05547599028650244 0.9939833283424377 0.18518546428065746 0.9757000207901001
28000 0.04305050327391145 0.9945666790008545 0.1729430079328551 0.9778000116348267
28500 0.05104503377877797 0.9943666458129883 0.18465385256792943 0.9761999845504761
29000 0.06102078608233278 0.993233323097229 0.20122004130253043 0.9739999771118164
29500 0.05855903084230522 0.9934166669845581 0.19059309784694634 0.9746000170707703
30000 0.056356501032176314 0.9938333630561829 0.19552230391364137 0.9750000238418579
30500 0.0582134788581563 0.9932000041007996 0.1946158750984272 0.9745000004768372
31000 0.05890493361629585 0.993483304977417 0.19319203169472166 0.9757999777793884
31500 0.04381237287572051 0.9947999715805054 0.17903160539810634 0.9761000275611877
32000 0.047937459001569975 0.9945666790008545 0.18764854911934273 0.9750000238418579
32500 0.05969098659565013 0.993233323097229 0.20010015183347715 0.9728000164031982
33000 0.07030017365667639 0.9928500056266785 0.21124974119646867 0.972100019454956
33500 0.04573103001690494 0.9946333169937134 0.19414798578282208 0.9742000102996826
34000 0.0647882569666331 0.9930333495140076 0.21518927451150666 0.9721999764442444
34500 0.04879030933274213 0.9943666458129883 0.20712167405073742 0.9735999703407288
35000 0.06151898321359185 0.9937666654586792 0.20492100470488803 0.9740999937057495
35500 0.04253719288451078 0.995283305644989 0.19172479363052317 0.9757000207901001
36000 0.043507918481543915 0.9950666427612305 0.1925165307421562 0.9746000170707703
36500 0.04501471310877896 0.9946333169937134 0.1911957642008796 0.9757000207901001
37000 0.047098584495513206 0.9945166707038879 0.18947381492498744 0.9749000072479248
37500 0.0510415482973384 0.9943833351135254 0.2028542839051165 0.9739999771118164
38000 0.04610458648889908 0.9948166608810425 0.1984453958675731 0.9746000170707703
38500 0.046469955644644144 0.994700014591217 0.2035934115195234 0.9732999801635742
39000 0.04764661905125407 0.9944666624069214 0.1994131569670233 0.9746000170707703
39500 0.04235805081686061 0.9951833486557007 0.19550389238663393 0.9735999703407288
40000 0.05052204075438737 0.9945499897003174 0.20194656889935722 0.9729999899864197
40500 0.03928005406940362 0.9955166578292847 0.18663501733582272 0.9757999777793884
41000 0.05727093643824592 0.9938833117485046 0.20674796987838345 0.9733999967575073
41500 0.05136875069331096 0.9944166541099548 0.20777966063716705 0.972000002861023
42000 0.05310607326404194 0.9945833086967468 0.20260166316155664 0.9718999862670898
42500 0.04895125720888415 0.9947166442871094 0.19722625345766356 0.9745000004768372
43000 0.049285781529942084 0.9945833086967468 0.2039370925117932 0.9732000231742859
43500 0.04308649564100973 0.9949666857719421 0.18815165834968392 0.9765999913215637
44000 0.0444728652300522 0.9948333501815796 0.19115741649483695 0.9763000011444092
44500 0.0678085929220649 0.9930999875068665 0.21095251800207115 0.9732999801635742
45000 0.050914523681323105 0.9944333434104919 0.20687156838945883 0.9722999930381775
45500 0.04753460736793028 0.9945499897003174 0.1990539834690109 0.973800003528595
46000 0.0469656613559906 0.994866669178009 0.20434867624703829 0.9731000065803528
46500 0.04375474550860866 0.9950500130653381 0.20067533940184185 0.9739000201225281
47000 0.04942074828574987 0.994183361530304 0.2188842370845201 0.9718000292778015
47500 0.04609613751520216 0.994616687297821 0.2025694204270796 0.973800003528595
48000 0.04618467203471773 0.9949833154678345 0.2088023323054962 0.9711999893188477
48500 0.0485817587955947 0.9944333434104919 0.20099171746889466 0.9740999937057495
49000 0.04228550988001055 0.9950000047683716 0.20632801362105482 0.9735000133514404
49500 0.037377344354517485 0.9955166578292847 0.19620875903192667 0.9739999771118164
