#Batch costTraining precTraining costValidation precValidation
2000 0.9391087034597185 0.87685 0.8933009408638906 0.8868
4000 0.7756022064609082 0.8971833333333333 0.735212428937468 0.9041
6000 0.688760609971955 0.9092333333333333 0.6527480494362533 0.9152
8000 0.640698517458994 0.9161 0.6116379848315704 0.9216
10000 0.591737541522568 0.9222 0.5660347873995717 0.9281
12000 0.5575171173723992 0.9267166666666666 0.5365340997759253 0.9295
14000 0.5296941463459826 0.9302333333333334 0.5108147189635586 0.9336
16000 0.5074944403628823 0.9334333333333333 0.49017202070338745 0.935
18000 0.4792989654702108 0.93685 0.46491644948652233 0.9395
20000 0.45808510082614445 0.9402166666666667 0.4495697714272778 0.9412
22000 0.44112927524071605 0.9422333333333334 0.43534682358003374 0.9428
24000 0.4218438900156177 0.9454166666666667 0.4187051036269989 0.9452
26000 0.41015202541734913 0.9469666666666666 0.4107381580778578 0.9461
28000 0.3915966032195617 0.9495833333333333 0.3921396550186987 0.9483
30000 0.38150235939674193 0.9508666666666666 0.3846389182995059 0.949
32000 0.37279023110249754 0.9518333333333333 0.3770306941294581 0.9505
34000 0.36063749941283735 0.9531 0.3657701791100812 0.9508
36000 0.34932597735235155 0.9551666666666667 0.3572999526247997 0.9507
38000 0.3374679127254486 0.95625 0.3463681852824919 0.9528
40000 0.3279546084237986 0.9582 0.33943615771280794 0.9545
42000 0.32098333038712595 0.9587333333333333 0.33102146562276785 0.9546
44000 0.3156094754185815 0.9593666666666667 0.32831353016825326 0.9549
46000 0.30780017022709383 0.9600833333333333 0.3203159450990467 0.9556
48000 0.2973572723526978 0.9623833333333334 0.31413267309615694 0.9577
50000 0.2914463958037898 0.9620666666666666 0.3072765829404756 0.958
52000 0.2861185483831611 0.9634833333333334 0.3049062256989449 0.9584
54000 0.2783406415737335 0.9643833333333334 0.29659793552917146 0.9597
56000 0.2726250682804584 0.9652666666666667 0.29240124516837 0.9605
58000 0.2699262390078447 0.9657166666666667 0.2922287732151196 0.9601
60000 0.26298840383632954 0.9665333333333334 0.28298324850263457 0.9616
62000 0.25923718626613945 0.96725 0.28145990143283983 0.9624
64000 0.2549160998717014 0.9683 0.2787717625947822 0.9624
66000 0.2499165456993735 0.9682833333333334 0.2738649412986484 0.9625
68000 0.24566312451154418 0.96895 0.2702212712303944 0.9643
70000 0.24154952709161262 0.97025 0.26835305435598494 0.9647
72000 0.23606745225943626 0.9704666666666667 0.2616154416392397 0.9644
74000 0.23255066131019084 0.9710166666666666 0.2581846322718399 0.9655
76000 0.22847177943831273 0.9713333333333334 0.25627551009626753 0.9665
78000 0.22683370065141467 0.9720333333333333 0.25423491794998443 0.9674
80000 0.2219360031753285 0.9727 0.2514596094089867 0.9664
82000 0.21869761281497854 0.9729833333333333 0.2481539879612989 0.967
84000 0.21408779739175632 0.9736833333333333 0.2449734266842982 0.9667
86000 0.2111117584614517 0.9738833333333333 0.24261428922111486 0.9681
88000 0.20829165938352637 0.97435 0.23887537604937312 0.9687
90000 0.20544611736539056 0.97485 0.23607431793584757 0.9691
92000 0.2028038057518969 0.9752666666666666 0.2345349302934226 0.9685
94000 0.20112575995767445 0.9755833333333334 0.23357447021122504 0.9686
96000 0.19675644793429004 0.9761666666666666 0.23091274308111376 0.97
98000 0.19461136960759318 0.9764666666666667 0.22854710469518313 0.9706
100000 0.1920338938810646 0.9766 0.2272099257551061 0.9698
102000 0.1889731535468359 0.977 0.22344144780973757 0.9715
104000 0.18673934473862572 0.97725 0.22325213193565516 0.971
106000 0.1838903013106896 0.9779833333333333 0.2208122556978623 0.9709
108000 0.18119986416059972 0.9784666666666667 0.21918385482207348 0.971
110000 0.17888535150293575 0.9784833333333334 0.2171183374747741 0.9709
112000 0.17753094610801481 0.9785166666666667 0.2163329110922096 0.9715
