#Batch costTraining precTraining costValidation precValidation
500 0.8944337980349859 0.885866641998291 0.8506822325706482 0.8950999975204468
1000 0.725023777449131 0.9015166759490967 0.6859607204437256 0.9085999727249146
1500 0.6444475024104118 0.9107833504676819 0.611668159854412 0.9172000288963318
2000 0.5972732373714447 0.9168999791145325 0.5728149100840092 0.9218000173568726
2500 0.5504982939084371 0.9239333271980286 0.5290295902609825 0.9251000285148621
3000 0.5086763289302587 0.9282666444778442 0.4901355111181736 0.930899977684021
3500 0.49248219936192034 0.9304666519165039 0.47687846948206425 0.9322999715805054
4000 0.4540088925858339 0.9359666705131531 0.44133070876151326 0.9368000030517578
4500 0.4287235086818536 0.9400666952133179 0.4235801260203123 0.9387000203132629
5000 0.4100049408872922 0.9427000284194946 0.4072446738630533 0.9415000081062317
5500 0.38408735574086506 0.9462833404541016 0.38377701729983094 0.944599986076355
6000 0.3759265499363343 0.947950005531311 0.3780300021931529 0.9452999830245972
6500 0.34770821695029736 0.9520333409309387 0.3549473003849387 0.9495999813079834
7000 0.3352175469895204 0.9541500210762024 0.3410709550783038 0.951200008392334
7500 0.3242796843732397 0.9554833173751831 0.3344136520653963 0.9521999955177307
8000 0.30400323311636845 0.957966685295105 0.3152399991467595 0.9556999802589417
8500 0.3044969781229893 0.9577000141143799 0.31491978705078366 0.9550999999046326
9000 0.2834529002636671 0.9612666964530945 0.2994396309539676 0.9578999876976013
9500 0.2715786300907532 0.9631999731063843 0.288845285577327 0.9605000019073486
10000 0.26152256412605446 0.9643499851226807 0.2795860813908279 0.9620000123977661
10500 0.25531689370622235 0.9656000137329102 0.2751234597548842 0.9620000123977661
11000 0.2496831695375343 0.9667999744415283 0.2732300064347684 0.9624999761581421
11500 0.23901399458795786 0.9677833318710327 0.26242721669077873 0.9627000093460083
12000 0.2337600771740079 0.9693499803543091 0.25695992623493075 0.9646000266075134
12500 0.22944914072553316 0.9694833159446716 0.2557031805194914 0.9646000266075134
13000 0.21737897707099715 0.9711833596229553 0.24517819785177708 0.9660999774932861
13500 0.22270841218580803 0.9707000255584717 0.2497071025773883 0.9656000137329102
14000 0.20870043547699849 0.97243332862854 0.24023140549585223 0.9675999879837036
14500 0.20163292780965567 0.973800003528595 0.2346068713337183 0.9679999947547913
15000 0.19849013255909084 0.9739999771118164 0.23149634959176182 0.9684000015258789
15500 0.19161754746114215 0.9758666753768921 0.22701879048123955 0.9682000279426575
16000 0.18856087372352678 0.975600004196167 0.22495650805830955 0.9690999984741211
16500 0.18185174504692356 0.9767500162124634 0.21894183334782719 0.9699000120162964
17000 0.18560394886905948 0.9765833616256714 0.22358201334290206 0.9696999788284302
17500 0.17297803850869337 0.9779666662216187 0.2114705097127706 0.9702000021934509
18000 0.16817331147926548 0.9785000085830688 0.2070931426823139 0.9706000089645386
18500 0.1641913029400011 0.9792500138282776 0.20403211209364236 0.9715999960899353
19000 0.16139098227247595 0.9799000024795532 0.20289561334103345 0.9718999862670898
19500 0.16204630440746745 0.9798666834831238 0.20512973985895513 0.972000002861023
20000 0.15535748987992604 0.9804166555404663 0.1990412907321006 0.9728000164031982
20500 0.1537819691012303 0.981083333492279 0.1996883709438145 0.9722999930381775
21000 0.1479460206689934 0.9815000295639038 0.19425201336666942 0.972599983215332
21500 0.1488271223599712 0.9818000197410583 0.19574071349613367 0.9735999703407288
22000 0.14460886792987585 0.9822499752044678 0.19251647170558572 0.972100019454956
22500 0.14006176807191223 0.9829999804496765 0.1888497224636376 0.9736999869346619
23000 0.1457170298943917 0.9820166826248169 0.1942175910498947 0.9736999869346619
23500 0.1381037099448343 0.9829666614532471 0.18972503543123603 0.9743000268936157
24000 0.1328362897090614 0.9839666485786438 0.18517907929793 0.9746000170707703
24500 0.13225287679620087 0.9839000105857849 0.1830380930453539 0.9742000102996826
25000 0.12718390865847468 0.9843833446502686 0.1804587377320975 0.9757999777793884
25500 0.1309432526593407 0.98416668176651 0.186853196041286 0.9753000140190125
26000 0.12353653583067159 0.9850666522979736 0.17908651258647443 0.9764000177383423
26500 0.12530720000329118 0.9851333498954773 0.18177043002471327 0.975600004196167
27000 0.11843886393650124 0.9856666922569275 0.1757259286634624 0.9760000109672546
27500 0.11933017154770593 0.9857166409492493 0.17683238957226277 0.9764000177383423
28000 0.11674098298512399 0.9858499765396118 0.1757129818700254 0.9749000072479248
28500 0.11237219066520532 0.986383318901062 0.17207396584711968 0.9765999913215637
29000 0.113560350847058 0.9864833354949951 0.17321648197211326 0.9760000109672546
29500 0.11003661128624032 0.9868333339691162 0.1712504976341501 0.9765999913215637
30000 0.10817315135517468 0.9869666695594788 0.17009529489483685 0.9775000214576721
30500 0.10527508171151082 0.9875500202178955 0.16798473881520332 0.9768999814987183
31000 0.10863042375730972 0.9872333407402039 0.1696803710244596 0.9760000109672546
31500 0.10364296368056287 0.98785001039505 0.16873850014191122 0.9779000282287598
32000 0.1020195237149795 0.9879166483879089 0.16545630438029765 0.9768999814987183
32500 0.1012196839094162 0.9880666732788086 0.16452950301077218 0.9775999784469604
33000 0.09974937219185134 0.9881500005722046 0.1647597997173667 0.9785000085830688
33500 0.09603006449919194 0.9887499809265137 0.16147405981812626 0.9786999821662903
34000 0.09552209423249587 0.9889666438102722 0.16380642761439085 0.977400004863739
34500 0.09540516910944134 0.9888333082199097 0.16181176882740111 0.9783999919891357
35000 0.09257091063652187 0.9890666604042053 0.16149279558490962 0.9783999919891357
35500 0.09052689658099164 0.9892833232879639 0.1591542863158509 0.978600025177002
36000 0.09143399057360366 0.9894833564758301 0.16196737068220973 0.9782000184059143
36500 0.08853667245376855 0.9895166754722595 0.15923386063138023 0.9778000116348267
37000 0.08708496980338047 0.989633321762085 0.15932026092810556 0.9789000153541565
37500 0.08724200618087004 0.9898666739463806 0.15786714199967683 0.978600025177002
38000 0.0845825692165643 0.9902833104133606 0.1566640023357235 0.979200005531311
38500 0.08360608721363048 0.9902833104133606 0.15464782469403 0.9794999957084656
39000 0.08159841407909989 0.9905833601951599 0.15414991551432758 0.9794999957084656
39500 0.08176422750453154 0.990149974822998 0.1563640134180896 0.9794999957084656
40000 0.08028025503903627 0.9906666874885559 0.15721360683701932 0.9790999889373779
40500 0.079939738371782 0.9908499717712402 0.1558286879008636 0.9787999987602234
41000 0.07786493687930827 0.9908666610717773 0.15518910131417216 0.9790999889373779
41500 0.07821434113277743 0.9912333488464355 0.15473778542689978 0.9797000288963318
42000 0.07715605232641101 0.9909499883651733 0.15473726390749215 0.9793999791145325
42500 0.0740570500779897 0.9914166927337646 0.1518837565052323 0.9803000092506409
43000 0.07261882320934286 0.9914666414260864 0.1499748048402369 0.9797999858856201
43500 0.07662320391082515 0.991599977016449 0.1569709645535797 0.9793000221252441
