#Batch costTraining precTraining
230 0.060301486 0.8871739
231 0.07776467 0.887482
232 0.10686644 0.8876437
233 0.08623711 0.8879113
234 0.09294433 0.8880698
235 0.04800964 0.88840425
236 0.10444205 0.8885946
237 0.048089247 0.8889944
238 0.070110805 0.8892507
239 0.06880054 0.8895398
240 0.0803093 0.8897569
241 0.09281283 0.8899723
242 0.08107664 0.8901515
243 0.13271196 0.8903635
244 0.091192976 0.8905738
245 0.076160274 0.89081633
246 0.055447586 0.89112467
247 0.083876215 0.8913293
248 0.06260969 0.89166665
249 0.0740592 0.891834
250 0.057917535 0.89213336
251 0.046329107 0.8924303
252 0.038481645 0.89275795
253 0.08423299 0.8929183
254 0.0634129 0.89317584
255 0.08116147 0.8933987
256 0.07196042 0.8936523
257 0.046647836 0.89393646
258 0.047842853 0.8942183
259 0.07649192 0.89443374
260 0.048981562 0.8947756
261 0.11026072 0.8948595
262 0.099250235 0.8950382
263 0.058335137 0.8952788
264 0.07601218 0.89551765
265 0.13598207 0.89556605
266 0.084848754 0.895802
267 0.08206299 0.896005
268 0.08759657 0.89620644
269 0.018751975 0.8965613
270 0.053795885 0.8967593
271 0.07760296 0.896925
272 0.07216609 0.89715075
273 0.059400447 0.8974054
274 0.06031958 0.8976277
275 0.059801593 0.8978182
276 0.037492655 0.8980978
277 0.06040473 0.8983153
278 0.05642007 0.8985612
279 0.07493357 0.89868575
280 0.072722815 0.89886904
281 0.04669706 0.89914
282 0.054802243 0.8993203
283 0.09223174 0.8994405
284 0.023394851 0.8997359
285 0.07324868 0.8998538
286 0.11680759 0.89994174
287 0.066902794 0.90011615
288 0.060232997 0.90031826
289 0.07678376 0.900519
290 0.11240242 0.9005747
291 0.07075945 0.90080184
292 0.10216163 0.90091324
293 0.06876324 0.9011661
294 0.059558105 0.9013889
295 0.08374356 0.9015537
296 0.070290014 0.9017455
297 0.042198498 0.90199214
298 0.061885793 0.90220916
299 0.0884865 0.9023133
300 0.035890426 0.90258336
301 0.04809975 0.9028239
302 0.11078599 0.90289736
303 0.039124686 0.90316284
304 0.031051973 0.9033991
305 0.10209727 0.9034973
306 0.050308418 0.9037037
307 0.06939657 0.9038545
308 0.022890933 0.9041126
309 0.07525469 0.90426105
310 0.08344409 0.9043548
311 0.09085612 0.9044748
312 0.018002247 0.9047543
313 0.082590654 0.9048988
314 0.07233975 0.90504247
315 0.037104346 0.9052381
316 0.07075181 0.9053798
317 0.048434902 0.90559936
318 0.043490767 0.9057914
319 0.09171292 0.9059039
320 0.058744907 0.9060677
321 0.046014633 0.9062824
322 0.09070537 0.90639234
323 0.053921785 0.90660477
324 0.081607334 0.90668726
325 0.09896402 0.90679485
326 0.111353554 0.9068507
327 0.08064262 0.90698266
328 0.101393014 0.907063
329 0.061601866 0.90719354
330 0.049096577 0.907399
331 0.048909005 0.90757805
332 0.056107283 0.90773094
333 0.08414995 0.90785784
334 0.06924537 0.907984
335 0.030403387 0.90820897
336 0.04799141 0.90838295
337 0.042057823 0.9085806
338 0.038121577 0.9088018
339 0.09992924 0.90887415
340 0.05342466 0.90904415
341 0.06549486 0.9092131
342 0.08199801 0.909308
343 0.13219103 0.90930516
344 0.045123115 0.9094961
345 0.042475585 0.90968597
346 0.066294156 0.9098025
347 0.083307795 0.9098703
348 0.048167564 0.91000956
349 0.091684446 0.9101242
350 0.06778332 0.9102381
351 0.09321768 0.91028017
352 0.051201537 0.91041666
353 0.06607007 0.910576
354 0.08304509 0.9106874
355 0.055366278 0.91084504
356 0.08627204 0.9109082
357 0.056284063 0.91106445
358 0.068387374 0.9111965
359 0.056907017 0.91135097
360 0.07891119 0.9114352
361 0.06312432 0.911542
362 0.070084855 0.9116483
363 0.06973967 0.9117539
364 0.060480453 0.91190475
365 0.06340806 0.91203195
366 0.039326828 0.91218126
367 0.03361806 0.9123978
368 0.07707491 0.9125227
369 0.09220052 0.91260165
370 0.10601832 0.9126126
371 0.08549571 0.9127134
372 0.059959196 0.9128584
373 0.07172703 0.9129803
374 0.061749235 0.9131239
375 0.0619747 0.91326666
376 0.0070770094 0.9134973
377 0.03364767 0.9136826
378 0.07984082 0.91377866
379 0.030737635 0.9139622
380 0.053441644 0.9141228
381 0.040401738 0.91428256
382 0.010513005 0.914507
383 0.0853739 0.9145779
384 0.07860073 0.9146701
385 0.02765552 0.9148485
386 0.069289304 0.91491795
387 0.05102314 0.9150517
388 0.072601415 0.91514176
389 0.05675202 0.9152742
390 0.071974225 0.91536325
391 0.023361465 0.91553706
392 0.037728213 0.91568875
393 0.032285977 0.9158609
394 0.075629435 0.91594756
395 0.0343429 0.91609704
396 0.117542505 0.91614056
397 0.067242794 0.91624683
398 0.11794631 0.9162479
399 0.0696063 0.91637427
400 0.05537413 0.91652083
401 0.042859815 0.9166667
402 0.049534164 0.916791
403 0.05008338 0.9169148
404 0.06739504 0.91701734
405 0.06525327 0.9171193
406 0.049362905 0.9172619
407 0.043295298 0.9173833
408 0.020098425 0.91754496
409 0.054492988 0.9176854
410 0.04406057 0.9178049
411 0.10669352 0.9178427
412 0.031258907 0.9180016
413 0.1260113 0.9179984
414 0.04266851 0.9181159
415 0.040529158 0.918253
416 0.07495026 0.9183293
417 0.024461562 0.9184852
418 0.06395229 0.91858053
419 0.035728753 0.9187152
420 0.053169735 0.91880953
421 0.011273569 0.91900235
422 0.035950053 0.9191351
423 0.07049521 0.9191883
424 0.056498285 0.91928065
425 0.04918736 0.9194118
426 0.0945049 0.91944444
427 0.035298917 0.91959405
428 0.035830274 0.9197235
429 0.0731672 0.9198135
430 0.070315816 0.9198837
431 0.05378877 0.91999227
432 0.06245405 0.920081
433 0.07506439 0.92013085
434 0.09076114 0.9201805
435 0.042613808 0.9203065
436 0.06757169 0.92037463
437 0.071253866 0.9204424
438 0.043742277 0.920586
439 0.0087781055 0.9207669
440 0.07571122 0.92083335
441 0.031232992 0.9209939
442 0.048320767 0.9211161
443 0.062839985 0.921219
444 0.037975267 0.9213401
445 0.070567966 0.921442
446 0.029820926 0.92158073
447 0.08421385 0.921607
448 0.06771486 0.921689
449 0.03818806 0.92178917
450 0.05114941 0.9219074
451 0.032899205 0.92200667
452 0.09510333 0.9220317
453 0.042010922 0.9221302
454 0.047123518 0.9222467
455 0.09352037 0.9222894
456 0.072143875 0.9223684
457 0.023887193 0.92252004
458 0.09623645 0.9225619
459 0.056688532 0.92262167
460 0.035336096 0.92275363
461 0.04664325 0.9228489
462 0.046683956 0.9229257
463 0.030114612 0.9230562
464 0.05780414 0.9231501
465 0.059227977 0.9232437
466 0.0656506 0.9233369
467 0.06149383 0.92342967
468 0.038677026 0.9235577
469 0.037419606 0.92368513
470 0.026913702 0.9238298
471 0.039362572 0.92393845
472 0.061980344 0.92399365
473 0.02965768 0.9241191
474 0.08014789 0.9241561
475 0.059641667 0.9242281
476 0.06552174 0.9242997
477 0.03172551 0.92442346
478 0.058539174 0.92451185
479 0.058268677 0.9245999
480 0.020802557 0.9247222
481 0.056341894 0.92482674
482 0.057005394 0.9249135
483 0.049138393 0.9249827
484 0.06157686 0.9250516
485 0.03157858 0.9251546
486 0.070761785 0.92520577
487 0.038648866 0.9253251
488 0.042943615 0.9254269
489 0.06587705 0.9254942
490 0.08326159 0.9255272
491 0.04620822 0.925611
492 0.05531541 0.9256775
493 0.03567761 0.9257945
494 0.036176026 0.92591095
495 0.05837482 0.92599326
496 0.03778932 0.9260921
497 0.04867246 0.9261737
498 0.017157415 0.92630523
499 0.04800679 0.9264028
500 0.034611866 0.9265
501 0.065879874 0.9583333
502 0.07091465 0.9625
503 0.062413458 0.9583333
504 0.055034176 0.9604167
505 0.019090947 0.965
506 0.043819193 0.96666664
507 0.062341817 0.9654762
508 0.05150036 0.96666664
509 0.050024595 0.96666664
510 0.060970612 0.96416664
511 0.038183346 0.9651515
512 0.025219554 0.9673611
